game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
just cause 4 نسخه day one edition ps4,0,0,0,0,5299900
kane & lynch dead men xbox 360,0,0,0,0,150000
kena bridge of spirits,0,0,0,0,7299900
kena bridge of spirits ps4,0,0,0,0,4813080
killing floor 2 نسخه استاندارد ps4,0,0,0,0,3999900
killzone 2,0,0,0,0,235000
killzone ps2,0,0,0,0,133840
killzone shadow fall مناسب ps4,0,0,0,0,5500000
killzone ۲,0,0,0,0,101000
kinect sports xbox 360,0,0,0,0,295000
knight rider 2 2,0,0,0,0,290000
knight rider 2 ps2,0,0,0,0,230000
kung fu panda ps2,0,0,0,0,110000
kungfu panda ps2,0,0,0,0,144000
left 4 dead 2 نشر پرنیان xbox360,0,0,0,0,130000
legends 007 ایکس باکس 360,0,0,0,0,350000
lego 2k drive,0,0,0,0,5136010
lego 2k drive ps4,0,0,0,0,3430000
lego batman 2 dc super heroes xbox 360,0,0,0,0,183000
lego batman 2 dc super heroes xbox360,0,0,0,0,355000
lego batman ps2,0,0,0,0,90800
lego batman the video game ps2,0,0,0,0,177000
lego brawls ps4,0,0,0,0,4800000
lego brawls نسخه standard,0,0,0,0,9200000
lego dc super-villains ps4,0,0,0,0,4899900
lego harry potter collection ps4,0,0,0,0,5920690
lego hobbit ایکس باکس 360,0,0,0,0,125000
lego horizon adventure نسخه استاندارد,0,0,0,0,5599000
lego jurassic world ps4,0,0,0,0,4600000
