game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
plants vs zombies garden warfare 2,0,0,300000,0,0
plants vs zombies replanted,0,1800000,900000,0,0
pragmata,0,6200000,3100000,0,0
raccoon city edition,0,1000000,500000,0,0
ratchet & clank rift apart,0,0,750000,0,0
rayman legends retold,0,4100000,2050000,0,0
rayman legends retold deluxe edition,0,5200000,2600000,0,0
ready or not,0,5200000,2600000,0,0
reanimal,0,3300000,0,0,0
red dead redemption,0,0,1150000,0,0
resident evil 2 1998,0,900000,450000,0,0
resident evil 3 nemesis 1999,0,900000,450000,0,0
resident evil 4 (2005),0,1000000,500000,0,0
resident evil 4 gold edition,0,0,650000,0,0
resident evil 7 biohazard gold edition,0,900000,450000,0,0
resident evil 7 gold edition + village gold edition bundle,0,1800000,900000,0,0
resident evil code veronica x,0,1400000,700000,0,0
resident evil requiem,0,7200000,0,0,0
resident evil requiem deluxe edition,0,8200000,0,0,0
resident evil village gold edition,0,0,400000,0,0
residnet evil 2,0,0,400000,0,0
residnet evil village,0,900000,450000,0,0
resonance a plague tale legacy,0,6200000,3100000,0,0
ride 6,0,6200000,0,0,0
rise of the ronin,0,3100000,1550000,0,0
robocop rogue city,0,2100000,1050000,0,0
s.t.a.l.k.e.r. 2 heart of chornobyl,0,0,3100000,0,0
saros,0,7200000,0,0,0
screamer,0,6200000,3100000,0,0
sekiro shadows die twice,0,1400000,700000,0,0
sid meier’s civilization vii,0,0,1900000,0,0
silent hill 2,0,3600000,1800000,0,0
silent hill 2 deluxe edition,0,4100000,2050000,0,0
silent hill f,0,4300000,2150000,0,0
silent hill townfall,0,5200000,2600000,0,0
sniper elite resistance,0,3000000,1500000,0,0
sonic racing crossworlds,0,4900000,2450000,0,0
sonic x shadow generations,0,4500000,2250000,0,0
speedrunners,0,500000,250000,0,0
split fiction,0,0,1800000,0,0
spongebob squarepants the cosmic shake,0,0,900000,0,0
spongebob squarepants titans of the tide,0,4100000,0,0,0
star wars battlefront ii,0,0,150000,0,0
star wars battlefront ultimate edition,0,600000,300000,0,0
star wars galactic racer,0,6200000,3100000,0,0
star wars jedi fallen order,0,0,450000,0,0
star wars jedi survivor,0,0,600000,0,0
star wars tales from the galaxy’s edge vr,0,4100000,2050000,0,0
starfield,0,5200000,0,0,0
stellar blade,0,0,2600000,0,0
stellar blade complete edition,0,0,2600000,0,0
still wakes the deep,0,3600000,1800000,0,0
stray,0,0,700000,0,0
street fighter 6,0,0,900000,0,0
suicide squad kill the justice league,0,600000,300000,0,0
swordsman vr,0,2100000,1050000,0,0
teenage mutant ninja turtles mutants unleashed,0,0,550000,0,0
tekken 7,0,0,450000,0,0
tekken 8,0,0,1250000,0,0
tekken 8 deluxe edition,0,0,2100000,0,0
the callisto protocol,0,0,1600000,0,0
the casting of frank stone,0,700000,350000,0,0
the dark pictures anthology little hope,0,0,450000,0,0
the elder scrolls iv oblivion remastered,0,4100000,2050000,0,0
the evil within 2,0,600000,300000,0,0
the first berserker khazan,0,3700000,1850000,0,0
the forest,0,1100000,550000,0,0
the last of us complete,0,7200000,3600000,0,0
the last of us part i,0,0,1550000,0,0
the outer worlds 2,0,4300000,2150000,0,0
the outlast trials deluxe edition,0,0,390000,0,0
the quarry,0,0,550000,0,0
the walking dead saints and sinners chapter 2 retribution vr,0,1300000,0,0,0
the walking dead saints and sinners vr,0,2100000,0,0,0
the walking dead the telltale definitive series,0,1800000,900000,0,0
the witcher 3 wild hunt complete edition,0,1200000,600000,0,0
thehunter call of the wild,0,0,450000,0,0
tomb raider definitive survivor trilogy,0,0,450000,0,0
tomb raider i-iii remastered,0,900000,0,0,0
tomb raider iv-vi remastered,0,1600000,800000,0,0
tomb raider legacy of atlantis,0,6200000,3100000,0,0
ufc 6,0,7200000,0,0,0
ufc 6 ultimate edition,0,10300000,0,0,0
uncharted 4 a thief’s end & uncharted the lost legacy digital bundle,0,0,750000,0,0
unravel two,0,0,400000,0,0
unravel yarny bundle,0,900000,450000,0,0
until dawn 2015,0,0,900000,0,0
until dawn remake,0,0,1550000,0,0
viewfinder,0,2300000,1150000,0,0
"warhammer 40,000 space marine 2",0,0,1800000,0,0
watch dogs 1 + watch dogs 2 gold editions bundle,0,0,500000,0,0
watch dogs legion,0,700000,350000,0,0
wo long fallen dynasty,0,0,900000,0,0
wolfenstein ii the new colossus,0,600000,0,0,0
wrc 7 fia world rally championship,0,0,250000,0,0
wuchang fallen feathers,0,5200000,2600000,0,0
wwe 2k22,0,0,400000,0,0
wwe 2k23,0,0,450000,0,0
wwe 2k26,0,4900000,0,0,0
yakuza kiwami 3 & dark ties,0,4000000,0,0,0
yakuza like a dragon,0,900000,450000,0,0
ظرفیتی alan wake 2,0,0,700000,0,0
ظرفیتی assassin’s creed mirage,0,0,400000,0,0
ظرفیتی call of duty modern warfare ii,0,0,1300000,0,0
ظرفیتی crash team racing nitro-fueled,0,1200000,600000,0,0
ظرفیتی farming simulator 25,0,0,2050000,0,0
ظرفیتی god of war ragnarök,0,2700000,1350000,0,0
ظرفیتی grand theft auto v,0,0,800000,0,0
ظرفیتی gta vi,0,9500000,0,0,0
ظرفیتی gta vi ultimate edition,0,11000000,9000000,0,0
ظرفیتی hogwarts legacy,0,0,550000,0,0
ظرفیتی minecraft,0,2000000,1000000,0,0
ظرفیتی need for speed heat,0,0,300000,0,0
ظرفیتی prince of persia the lost crown,0,0,400000,0,0
ظرفیتی red dead redemption 2,0,1700000,850000,0,0
ظرفیتی resident evil 4,0,0,450000,0,0
ظرفیتی the crew motorfest,0,0,550000,0,0
ظرفیتی wwe 2k24,0,0,500000,0,0
