game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
ظرفیتی goat simulator remastered,0,4532000,3012000,0,0
ظرفیتی god of war ragnarök ps4 و,0,2960000,290000,0,0
ظرفیتی godfall ps4 و,0,4968000,150000,0,0
ظرفیتی gotham knights ps4 و,0,4540000,220000,0,0
ظرفیتی gran turismo 7 ps4 و,220000,2000000,290000,0,0
ظرفیتی gran turismo sport ps4 و,0,2420000,1718000,0,0
ظرفیتی grand theft auto vi,2290000,8035000,5632000,0,0
ظرفیتی grid legends ps4 و,0,3500000,220000,0,0
ظرفیتی hades ii ps4 و,0,3299000,2203000,0,0
ظرفیتی hades ps4 و,140000,2770000,2070000,0,0
ظرفیتی hellblade senuas sacrifice,0,3771000,1867000,0,0
ظرفیتی helldivers 2 ps4 و,0,0,4400000,0,0
ظرفیتی hello neighbor 2 ps4 و,0,4000000,190000,0,0
ظرفیتی hello neighbor vr search and rescue,220000,2000000,1788000,0,0
ظرفیتی hogwarts legacy ps4 و,290000,2656000,290000,0,0
ظرفیتی hollow knight silksong,0,2709000,1798000,0,0
ظرفیتی horizon forbidden west complete edition ps4 و,0,0,4386000,0,0
ظرفیتی horizon forbidden west ps4 و,0,4200000,220000,0,0
ظرفیتی horizon zero dawn™ remastered,0,5544000,3772000,0,0
ظرفیتی indiana jones and the great circle,0,0,5843000,0,0
ظرفیتی injustice 2 ps4 و,250000,1238000,602000,0,0
ظرفیتی insurgency sandstorm ps4 و,290000,1760000,250000,0,0
ظرفیتی just cause 3 ps4 و,298000,1916000,2194000,0,0
ظرفیتی just cause 4 ps4 و,220000,1760000,1343000,0,0
ظرفیتی karma the dark world,0,3310000,2178000,0,0
ظرفیتی kena bridge of spirits ps4 و,198000,2000000,220000,0,0
ظرفیتی killer klowns from outer space the game,298000,4382000,295000,0,0
ظرفیتی killing floor 3,0,4200000,3311000,0,0
ظرفیتی kingdom come deliverance ii,0,6478000,4532000,0,0
ظرفیتی layers of fear2023,0,3824000,876000,0,0
ظرفیتی lego batman legacy of the dark knight,0,6111000,5089000,0,0
ظرفیتی lego horizon adventures,0,6256000,4828000,0,0
ظرفیتی lego marvel super heroes 2 ps4 و,198000,1463000,1463000,0,0
ظرفیتی lego star wars the skywalker saga ps4 و,0,5880000,150000,0,0
ظرفیتی lego voyagers,0,1001000,1318000,0,0
ظرفیتی lies of p ps4 و,0,3684000,290000,0,0
ظرفیتی life is strange - double exposure,0,5910000,3850000,0,0
ظرفیتی life is strange reunion,0,5089000,3464000,0,0
ظرفیتی life is strange true colors ps4 و,0,5880000,220000,0,0
ظرفیتی like a dragon gaiden the man who erased his name,0,5000000,4200000,0,0
ظرفیتی little nightmares iii,0,4580000,2980000,0,0
ظرفیتی lost soul aside,0,6422000,4400000,0,0
ظرفیتی madden nfl 22 ps4 و,0,4968000,220000,0,0
ظرفیتی madden nfl 23 ps4 و,0,5392000,220000,0,0
ظرفیتی madden nfl 24 ps4 و,290000,4714000,390000,0,0
ظرفیتی mafia definitive edition ps4 و,190000,700000,190000,0,0
ظرفیتی mafia ii definitive edition ps4 و,220000,2820000,250000,0,0
ظرفیتی mafia the old country,0,5380000,3600000,0,0
ظرفیتی mafia trilogy ps4 و,190000,1061000,918000,0,0
ظرفیتی martha is dead ps4 و,0,3400000,250000,0,0
ظرفیتی marvel’s spider-man 2,0,0,290000,0,0
ظرفیتی marvel’s spider-man remastered,0,0,260000,0,0
ظرفیتی medieval dynasty,0,3851000,290000,0,0
ظرفیتی metal gear solid master collection vol.1 ps4 و,602000,2190000,150000,0,0
ظرفیتی metal gear solid snake eater,0,7532000,6622000,0,0
ظرفیتی metaphor refantazio ps4 و,0,2660000,4026000,0,0
ظرفیتی metro exodus ps4 و,198000,1690000,190000,0,0
ظرفیتی metro saga bundle ps4 و,240000,2696000,290000,0,0
ظرفیتی microsoft flight simulator 2024,0,8667000,7222000,0,0
ظرفیتی middle-earth shadow of war ps4 و,198000,1851000,220000,0,0
ظرفیتی minecraft legends ps4 و,210000,2820000,250000,0,0
ظرفیتی mlb the show 24 ps4 و,270000,6000000,350000,0,0
ظرفیتی mlb the show 25,0,5180000,2980000,0,0
ظرفیتی monster hunter wilds,0,7544000,5797000,0,0
ظرفیتی motogp 22 ps4 و,0,3680000,220000,0,0
ظرفیتی motogp 23 ps4 و,0,4526000,290000,0,0
ظرفیتی mount and blade ii bannerlord ps4 و,0,2400000,290000,0,0
ظرفیتی naruto x boruto ultimate ninja storm connections ps4 و,0,6000000,4000000,0,0
ظرفیتی nba 2k23 ps4 و,0,4786000,220000,0,0
ظرفیتی nba 2k24 ps4 و,0,2394000,2090000,0,0
ظرفیتی nba 2k25,390000,3200000,5000000,0,0
ظرفیتی nba 2k26 ps4 و,0,2400000,1625000,0,0
