game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
ziggurat 2,0,0,0,0,3980000
zorro the chronicles,0,0,0,0,4980000
کارکرده alan wake 2 نسخه deluxe edition,0,0,0,0,6900000
کارکرده assassins creed mirage,0,0,0,0,5300000
کارکرده assassins creed mirage نسخه launch edition,0,0,0,0,7500000
کارکرده assassin’s creed valhalla,0,0,0,0,3090000
کارکرده astro bot,0,0,0,0,6700000
کارکرده atomic heart,0,0,0,0,4200000
کارکرده call of duty black ops 6,0,0,0,0,5400000
کارکرده call of duty modern warfare 2,0,0,0,0,6500000
کارکرده call of duty modern warfare 3,0,0,0,0,5750000
